epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
45,698.794,1.19381,3.85979,0.00573,0.97334,1,0.995,0.71688,1.35919,6.00542,0.01096,0.0011288,0.0011288,0.0011288
46,716.638,1.12433,5.28906,0.00697,0.97334,1,0.995,0.71688,1.35919,6.00542,0.01096,0.001109,0.001109,0.001109
47,731.169,1.12039,4.47248,0.00654,0.97893,1,0.995,0.7992,0.90452,5.34702,0.00691,0.0010892,0.0010892,0.0010892
48,746.764,1.20818,4.87276,0.0079,0.97893,1,0.995,0.7992,0.90452,5.34702,0.00691,0.0010694,0.0010694,0.0010694
49,762.164,1.04985,4.72835,0.00637,0.98142,1,0.995,0.89814,0.45331,4.77882,0.00228,0.0010496,0.0010496,0.0010496
50,777.926,0.9402,4.29849,0.00606,0.98142,1,0.995,0.89814,0.45331,4.77882,0.00228,0.0010298,0.0010298,0.0010298
51,791.372,0.99413,3.89985,0.00575,0.98396,1,0.995,0.82928,0.76784,4.8967,0.00473,0.00101,0.00101,0.00101
52,805.707,1.14285,3.4902,0.00622,0.98396,1,0.995,0.82928,0.76784,4.8967,0.00473,0.0009902,0.0009902,0.0009902
53,819.356,1.00248,4.18576,0.00631,0.98379,1,0.995,0.80939,0.81969,4.88136,0.00582,0.0009704,0.0009704,0.0009704
54,833.312,1.19447,4.13283,0.00625,0.98379,1,0.995,0.80939,0.81969,4.88136,0.00582,0.0009506,0.0009506,0.0009506
55,848.865,1.15097,5.0638,0.00653,0.98417,1,0.995,0.8955,0.63226,4.66936,0.0048,0.0009308,0.0009308,0.0009308
56,865.668,0.89811,3.77408,0.00493,0.98417,1,0.995,0.8955,0.63226,4.66936,0.0048,0.000911,0.000911,0.000911
57,881.097,0.9006,4.59558,0.00607,0.98417,1,0.995,0.8955,0.63226,4.66936,0.0048,0.0008912,0.0008912,0.0008912
58,896.79,0.97878,4.43415,0.00636,0.98523,1,0.995,0.94525,0.52778,4.49813,0.00261,0.0008714,0.0008714,0.0008714
59,911.076,1.08842,4.92986,0.00593,0.98523,1,0.995,0.94525,0.52778,4.49813,0.00261,0.0008516,0.0008516,0.0008516
60,925.712,1.0872,3.99943,0.00593,0.98531,1,0.995,0.85365,0.91023,4.69737,0.00468,0.0008318,0.0008318,0.0008318
61,940.555,0.94308,3.83581,0.00495,0.98531,1,0.995,0.85365,0.91023,4.69737,0.00468,0.000812,0.000812,0.000812
62,958.713,1.10962,3.24144,0.00574,0.98527,1,0.995,0.85365,0.97106,4.68426,0.00502,0.0007922,0.0007922,0.0007922
63,975.102,0.95493,4.31085,0.00547,0.98527,1,0.995,0.85365,0.97106,4.68426,0.00502,0.0007724,0.0007724,0.0007724
64,989.661,0.92782,4.3395,0.00529,0.98512,1,0.995,0.8955,0.67748,4.44697,0.00355,0.0007526,0.0007526,0.0007526
65,1004.59,0.78237,4.25143,0.0048,0.98512,1,0.995,0.8955,0.67748,4.44697,0.00355,0.0007328,0.0007328,0.0007328
66,1019.34,0.98392,3.91347,0.00615,0.98461,1,0.995,0.995,0.239,4.13267,0.00133,0.000713,0.000713,0.000713
67,1034.36,0.97716,3.45925,0.00471,0.98461,1,0.995,0.995,0.239,4.13267,0.00133,0.0006932,0.0006932,0.0006932
68,1048.07,0.82398,4.04866,0.00479,0.98486,1,0.995,0.902,0.42571,4.19876,0.0022,0.0006734,0.0006734,0.0006734
69,1063.11,0.86765,4.46218,0.00444,0.98486,1,0.995,0.902,0.42571,4.19876,0.0022,0.0006536,0.0006536,0.0006536
70,1080.21,1.11737,4.8261,0.0068,0.98418,1,0.995,0.86548,0.68405,4.33274,0.00357,0.0006338,0.0006338,0.0006338
71,1096.92,1.15642,3.67521,0.00716,0.98418,1,0.995,0.86548,0.68405,4.33274,0.00357,0.000614,0.000614,0.000614
72,1113.34,1.19686,4.43936,0.00682,0.98418,1,0.995,0.86548,0.68405,4.33274,0.00357,0.0005942,0.0005942,0.0005942
73,1128.86,1.04671,3.2503,0.00477,0.98546,1,0.995,0.82883,0.7746,4.35558,0.00426,0.0005744,0.0005744,0.0005744
74,1144.23,1.20187,3.13004,0.00526,0.98546,1,0.995,0.82883,0.7746,4.35558,0.00426,0.0005546,0.0005546,0.0005546
75,1158.11,1.00143,3.73139,0.00577,0.98584,1,0.995,0.8505,0.72833,4.28296,0.00404,0.0005348,0.0005348,0.0005348
